R2_lin,R2_orth,R2_orth_noscale,proc_scale,gap,emb_mean_norm,emb_cov_err,cond_m,cond_La,theta_max_deg,cos_mean,norm_ratio,excited_cos,rho_hat,rho_mod,D_frob,D_struct,D_rel,leak,pred_bias_norm,analytic_whiten_cond,condition,seed,converged,wall_s,L_pred_final,L_sigreg_final,quick,n,m,rho,K,D,nonlinearity_strength,lam,action_scale,action_rank,noise_mode,action_conditioned,steps,world_seed
0.8501392570399017,0.8492363567618106,0.8429174057261413,0.9205901240933639,0.0009029002780910345,0.12007265759243696,0.39369888896033894,,,,,,,0.5655880508129483,0.9991281432802678,2.7308376634819154,2.5618008373444456,1.0727743500931606,0.0,0.0016818410949781537,1.0,mw31337|symmetric,1,True,39.23,1.594761581997727,3.4564895629882812,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,False,4000,31337
0.8560832873423607,0.8549461254532238,0.8487036904174875,0.9212776288254249,0.0011371618891369284,0.11864686909268284,0.39488937698782167,,,,,,,0.5726633938029411,0.9923638921809584,2.862889672307583,2.7090484022535573,1.1246492783764581,0.0,0.0019164563855156302,1.0,mw31337|symmetric,2,True,37.95,1.5895458736344674,3.8845458030700684,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,False,4000,31337
0.85413279341797,0.8535529891821382,0.8473003255798789,0.9211590395158701,0.0005798042358318156,0.12309902869029529,0.3943208002919934,,,,,,,0.5930310189723964,0.9718231773750892,2.527394470626512,2.373580242513083,0.992854316062995,0.0,0.0020805462263524532,1.0,mw31337|symmetric,3,True,39.29,1.5919064420992346,4.245378017425537,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,False,4000,31337
0.9586987987324207,0.9581687339124872,0.958157595270923,0.9966020507103058,0.0005300648199334512,0.11462186866102357,0.11009070263846953,,,,,,,0.891878515481949,0.8918792497667887,0.031595697289256236,0.021693777932365144,0.012411962116416944,0.0,0.0016408239025622606,1.0,mw31337|symmetric,4,True,42.25,1.568306633808776,0.9043540954589844,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,False,4000,31337
0.9584058232386046,0.9577662686956769,0.9577529421018482,0.9962836823400771,0.0006395545429276339,0.12009727775606044,0.09841800628585663,5941927.49048209,27671983.180985942,1.5833429476631762,0.604589223330944,0.7495914505640469,0.9995502305034715,0.8912856429815295,0.891286406766198,0.034742467163593506,0.024485074609860668,0.01364813007029329,0.0,0.0017868340946733952,1.2047840356826782,mw31337|excite_rank1,0,True,43.49,1.4965324382574752,1.2226738929748535,False,8,2,0.9,8,64,1.0,0.5,1.0,1,balanced,True,4000,31337
0.8643671929735948,0.8338160183668247,0.8284897414108288,0.9259911601536198,0.030551174606770037,0.0996971852868142,0.1019970903324356,3121497.58592148,4208420.01866266,2.7232191487415074,0.861607737055069,0.7282552194278246,0.9984352224297464,0.8776143118739126,0.8776146808822722,0.11808014869199249,0.0996692994461957,0.046386263257568734,0.0,0.0029160731937736273,1.2047840356826782,mw31337|excite_rank1,1,True,40.69,1.662634221719516,0.8613624572753906,False,8,2,0.9,8,64,1.0,0.5,1.0,1,balanced,True,4000,31337
0.8627680851744899,0.8568487242532727,0.8512200032394839,0.9250266319883057,0.005919360921217143,0.10033866302704121,0.39499086907804987,2425998.5876789326,76519881.37318766,3.0637150731017915,0.514727468230175,0.8164769685943949,0.9984449620035497,0.5853958791121837,0.980270290857601,2.719277341365049,2.5695647951014204,1.0682330266700846,0.0,0.0020802877843379974,1.2047840356826782,mw31337|excite_rank1,2,True,40.79,1.4932705030365823,3.6871774196624756,False,8,2,0.9,8,64,1.0,0.5,1.0,1,balanced,True,4000,31337
0.9560021619230079,0.9552765736388781,0.955268154809272,0.9970401211814753,0.00072558828412983,0.1302886975190951,0.09980482495721964,1621361.6349039485,11035295.866772024,1.7389274800348533,0.5714375330887084,0.7511022252882328,0.9995000737055375,0.8908480703830723,0.8908496217758992,0.03573107830972061,0.024630213792612612,0.014036493206617224,0.0,0.0017153569497168064,1.2047840356826782,mw31337|excite_rank1,3,True,40.98,1.4951682376322468,1.296752691268921,False,8,2,0.9,8,64,1.0,0.5,1.0,1,balanced,True,4000,31337
0.9564722806593929,0.9556566446500837,0.9556262703772298,0.9943939049513529,0.0008156360093092285,0.12955297482977945,0.09869864524917449,3381556.0648030196,13321371.003566548,1.4849844045797316,0.6236980290557624,0.7491834319370062,0.9996533192485115,0.8909685760736461,0.8909706156773103,0.037088926734163495,0.02688969209924135,0.01456990644481002,0.0,0.001862737932242453,1.2047840356826782,mw31337|excite_rank1,4,True,40.61,1.4988080802148245,1.1037914752960205,False,8,2,0.9,8,64,1.0,0.5,1.0,1,balanced,True,4000,31337
0.9610168744775226,0.9607098391950694,0.9607030879335926,1.0026579643573221,0.0003070352824532385,0.13598002124625067,0.08591190739708489,1.0354770241119282,1.0338642821987873,1.1894528426830344,0.9996272939967833,0.9634929756008614,,0.8911053836345666,0.891108815725409,0.03372837370897152,0.02246529747735734,0.013249756537782124,0.0,0.0007065760437399149,1.2247451543807983,mw777|base,0,True,40.29,1.4602596981355822,1.9688094854354858,False,8,2,0.9,8,64,1.0,0.5,1.0,0,balanced,True,4000,777
